Disease Name,OrphaCode,Disease Category
Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,166024,Rare bone disease
Alexander disease,58,Rare neurologic disease
Multiple epiphyseal dysplasia-miniepiphyses syndrome,166032,Rare bone disease
Alpha-mannosidosis,61,Rare inborn errors of metabolism
Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,166029,Rare bone disease
"Metaphyseal chondrodysplasia, Kaitila type",166038,Rare bone disease
Aspartylglucosaminuria,93,Rare inborn errors of metabolism
Brachydactyly-short stature-retinitis pigmentosa syndrome,166035,Rare bone disease
Multiple sulfatase deficiency,585,Rare inborn errors of metabolism
Beta-mannosidosis,118,Rare inborn errors of metabolism
Canavan disease,141,Rare neurologic disease
Pontocerebellar hypoplasia type 4,166063,Rare developmental defect during embryogenesis
Von Willebrand disease type 1,166078,Rare hematologic disease
Pontocerebellar hypoplasia type 6,166073,Rare developmental defect during embryogenesis
Cystinosis,213,Rare inborn errors of metabolism
Von Willebrand disease type 2A,166084,Rare hematologic disease
Farber disease,333,Rare inborn errors of metabolism
Von Willebrand disease type 2,166081,Rare hematologic disease
Fucosidosis,349,Rare inborn errors of metabolism
Von Willebrand disease type 2M,166090,Rare hematologic disease
Glycogen storage disease due to acid maltase deficiency,365,Rare inborn errors of metabolism
Von Willebrand disease type 2B,166087,Rare hematologic disease
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,Rare inborn errors of metabolism
Von Willebrand disease type 2N,166093,Rare hematologic disease
Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368,Rare inborn errors of metabolism
Von Willebrand disease type 3,166096,Rare hematologic disease
Glycogen storage disease due to glycogen branching enzyme deficiency,367,Rare inborn errors of metabolism
Autosomal dominant otospondylomegaepiphyseal dysplasia,166100,Rare bone disease
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,Rare inborn errors of metabolism
FASTKD2-related infantile mitochondrial encephalomyopathy,166105,Rare neurologic disease
Glycogen storage disease due to liver glycogen phosphorylase deficiency,369,Rare inborn errors of metabolism
Paroxysmal nocturnal hemoglobinuria,447,Rare hematologic disease
Birk-Barel syndrome,166108,Rare developmental defect during embryogenesis
Bazex syndrome,166113,Rare skin disease
Rare cutaneous lupus erythematosus,535,Rare skin disease
Isolated osteopoikilosis,166119,Rare bone disease
